MMSI,name,imo,callsign,vessel_type,length_m,width_m,n_fixes,t_first,t_last,sog_max,sog_mean,type_label
603744,(no name broadcast),,,,,,91,2019-05-09 14:14:04,2019-05-09 19:18:39,35.5,18.14835164835165,unknown
205736000,(no name broadcast),,,,,,382,2019-05-11 14:25:57,2019-05-12 23:17:10,14.5,2.3073298429319373,unknown
209218000,UBC SYDNEY,IMO9236078,P3AF9,70.0,171.0,27.0,1841,2019-05-08 23:20:09,2019-05-12 23:18:01,0.0,0.0,cargo
209294000,TWO MILLION WAYS,IMO9334571,5BHK3,80.0,228.0,32.0,745,2019-05-11 08:16:44,2019-05-12 23:19:13,12.0,1.4540939597315437,tanker
209946000,LOUKAS I,IMO9281578,C4FD2,80.0,182.0,32.0,369,2019-05-10 13:26:54,2019-05-11 02:37:18,15.9,5.405149051490515,tanker
212539000,(no name broadcast),,,,,,718,2019-05-08 23:20:36,2019-05-10 06:39:03,13.7,3.2824512534818946,unknown
212688000,(no name broadcast),,,,,,1689,2019-05-08 23:21:41,2019-05-12 23:18:20,0.0,0.0,unknown
212970000,STH LONDON,IMO9747405,5BJA4,70.0,199.0,,1344,2019-05-09 19:25:35,2019-05-12 23:17:59,11.8,0.30386904761904765,cargo
215077000,(no name broadcast),,,,,,1566,2019-05-08 23:23:11,2019-05-12 23:19:04,8.6,0.16634738186462325,unknown
215189000,(no name broadcast),,,,,,168,2019-05-12 15:32:03,2019-05-12 23:19:36,17.0,1.1922619047619047,unknown
215810000,SEAOATH,IMO9290361,9HBO8,80.0,243.0,42.0,1537,2019-05-08 23:20:28,2019-05-12 23:17:51,0.9,0.21113281250000002,tanker
215929000,CATALONIA,IMO9309526,9HWS7,70.0,188.0,27.0,233,2019-05-12 12:39:45,2019-05-12 23:19:28,12.0,3.2334763948497853,cargo
218433000,BBC EVEREST,IMO9508407,DGNF2,70.0,125.0,22.0,237,2019-05-12 10:32:04,2019-05-12 23:18:40,11.1,0.9818565400843883,cargo
218705000,(no name broadcast),,,,,,1861,2019-05-08 23:20:05,2019-05-12 23:18:26,16.3,1.1150994089199355,unknown
219005000,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,183.0,32.0,949,2019-05-08 23:21:15,2019-05-11 03:15:34,15.2,1.2986301369863014,tanker
219028000,HAPPY CONDOR,IMO9368780,OXJN2,83.0,120.0,19.0,188,2019-05-08 23:22:46,2019-05-09 23:15:40,15.6,8.260106382978725,tanker
