Date Time, Speed, Direction, Bin 
2019-05-07 23:25,53.7,140,30
2019-05-07 23:31,22.4,131,30
2019-05-07 23:37,40.8,120,30
2019-05-07 23:43,51.5,132,30
2019-05-07 23:49,41.8,126,30
2019-05-07 23:55,45.8,129,30
2019-05-08 00:01,44.4,128,30
2019-05-08 00:07,40.6,127,30
2019-05-08 00:13,43.8,128,30
2019-05-08 00:19,48.2,133,30
2019-05-08 00:25,43.2,128,30
2019-05-08 00:31,48.1,127,30
2019-05-08 00:37,47.1,128,30
2019-05-08 00:43,44.6,123,30
2019-05-08 00:49,52.0,131,30
2019-05-08 00:55,49.1,133,30
2019-05-08 01:01,45.4,131,30
2019-05-08 01:07,49.4,130,30
2019-05-08 01:13,46.4,130,30
2019-05-08 01:19,40.0,127,30
2019-05-08 01:25,49.8,133,30
2019-05-08 01:31,43.6,125,30
2019-05-08 01:37,38.2,124,30
2019-05-08 01:49,35.5,127,30
2019-05-08 01:55,29.4,120,30
2019-05-08 02:01,44.7,135,30
2019-05-08 02:07,40.2,134,30
2019-05-08 02:13,37.8,132,30
2019-05-08 02:19,40.3,131,30
2019-05-08 02:25,39.4,128,30
2019-05-08 02:31,53.1,139,30
2019-05-08 02:37,40.4,134,30
2019-05-08 02:43,49.8,130,30
2019-05-08 02:49,44.1,128,30
2019-05-08 02:55,46.2,127,30
2019-05-08 03:01,49.6,131,30
2019-05-08 03:07,51.6,131,30
2019-05-08 03:13,51.0,130,30
2019-05-08 03:19,47.2,128,30
2019-05-08 03:25,43.7,126,30
2019-05-08 03:31,68.4,128,30
2019-05-08 03:37,61.1,131,30
2019-05-08 03:43,51.8,128,30
2019-05-08 03:49,51.3,128,30
2019-05-08 03:55,48.1,124,30
2019-05-08 04:01,45.6,124,30
2019-05-08 04:07,49.6,129,30
2019-05-08 04:13,43.4,128,30
2019-05-08 04:19,45.6,129,30
2019-05-08 04:25,46.3,129,30
2019-05-08 04:31,47.4,135,30
2019-05-08 04:37,50.3,130,30
2019-05-08 04:43,56.5,131,30
2019-05-08 04:49,53.3,130,30
2019-05-08 04:55,53.4,133,30
2019-05-08 05:01,48.5,127,30
2019-05-08 05:07,51.4,127,30
2019-05-08 05:13,52.8,128,30
2019-05-08 05:19,57.1,131,30
2019-05-08 05:25,62.6,130,30
2019-05-08 05:31,61.8,130,30
2019-05-08 05:37,62.2,128,30
2019-05-08 05:43,64.6,127,30
2019-05-08 05:49,60.5,122,30
2019-05-08 05:55,73.4,126,30
2019-05-08 06:01,67.6,122,30
2019-05-08 06:07,73.9,128,30
2019-05-08 06:13,77.1,126,30
2019-05-08 06:19,84.9,129,30
2019-05-08 06:25,89.3,134,30
2019-05-08 06:31,83.5,134,30
2019-05-08 06:37,75.9,127,30
2019-05-08 06:43,71.1,125,30
2019-05-08 06:49,70.9,126,30
2019-05-08 06:55,76.6,126,30
2019-05-08 07:01,71.2,126,30
2019-05-08 07:07,70.0,126,30
2019-05-08 07:13,74.6,128,30
2019-05-08 07:19,70.5,127,30
2019-05-08 07:25,69.3,129,30
2019-05-08 07:31,64.6,126,30
2019-05-08 07:37,56.0,122,30
2019-05-08 07:43,58.2,122,30
2019-05-08 07:49,58.3,127,30
2019-05-08 07:55,61.2,126,30
2019-05-08 08:01,71.9,133,30
2019-05-08 08:07,60.5,136,30
2019-05-08 08:13,59.0,137,30
2019-05-08 08:19,60.4,133,30
2019-05-08 08:25,51.2,133,30
2019-05-08 08:31,55.2,133,30
2019-05-08 08:37,50.7,134,30
2019-05-08 08:43,50.0,135,30
2019-05-08 08:49,56.3,134,30
2019-05-08 08:55,58.0,135,30
2019-05-08 09:01,67.1,137,30
2019-05-08 09:07,65.2,136,30
2019-05-08 09:13,60.9,134,30
2019-05-08 09:19,62.6,133,30
